,companyFullName,companySize,district,financeStage,positionAdvantage,position_detail,position_name,salary,workYear
0,浙江百世技术有限公司,2000人以上,西湖区,D轮及以上,弹性工作制 奖金 新技术,"
职位描述：

岗位职责： 
1、负责公司软件产品的设计﹑开发和维护工作； 
2、对现有系统的不足进行分析，找到目前系统的瓶颈，重构优化和改进系统算法，提高系统性能； 
3、熟悉和引入先进的技术及工具改善团队开发效率和软件交付质量。 

岗位要求：
1、扎实的编程基础，精通java开发语言，熟悉jvm，web开发，分布式事物管理，分布式文件，缓存，消息中间件等核心技术； 
2、熟悉linux操作系统，并对计算机原理有一定的理解。 
3、专注于技术，精益求精，对业界的发展动态有比较密切的关注； 
4、优秀的团队合作精神；诚实， 勤奋， 严谨； 
5、良好的综合素质：沟通表达、时间管理、结构化思维。

",高级Java开发工程师,13k-25k,3-5年
1,杭州大搜车汽车服务有限公司,2000人以上,余杭区,D轮及以上,"团队氛围好,美女如云,期权","
职位描述：

【岗位职责】
1. 参与金融线活动营销相关业务功能的系统开发；
2. 能够快速理解熟悉业务，承担核心功能代码编写；
3. 能够快速学习技术框架，把项目架构和规范落地执行。

【任职要求】
1. 计算机或相关专业本科毕业，有2~5年Java方向项目开发经验；
2. 具有独立完成项目的开发实施工作；
3. 熟悉Spring、Spring MVC、myBatis、React开发，熟悉各种常用设计模式；?
4. 熟练MySQL，对数据库有较强的设计能力；
5. 对技术有强烈的兴趣，喜欢钻研，具有良好的学习能力；
6. 具有良好的沟通，团队协作的能力。

",Java研发工程师07-01-38,11k-20k,3-5年
2,杭州天谷信息科技有限公司,150-500人,西湖区,B轮,"底层设计,大牛聚集,团队逗比多,横向","
职位描述：

【主要岗位职责】 1. 作为PM对项目需求进行分解、设计、编写计划、风险预估、实施及问题协调2. 参与产品需求的讨论和梳理，撰写技术方案3. 项目相关功能代码编写，确保性能、质量和安全4. 负责产品代码以及相关文档的维护工作5. 线上系统问题排查及监控6. 指导及协助团队其它成员完成复杂开发任务【任职要求】 1. 优秀的owner意识及自我驱动能力，计算机相关专业本科以上学历，三年以上的Java开发经验，对于Java基础技术体系（包括JVM、类装载机制、多线程并发、IO、网络）有一定的掌握和应用经验； 2. 熟悉分布式，缓存，异步消息等技术的原理，能运用分布式常用技术进行合理应用，解决业务问题；3. 掌握多线程及高性能的设计与编码及性能调优；有高并发，高可用应用开发经验优先；4. 熟练运用Spring、spring boot相关技术，MyBatis等框架进行开发工作；5. 熟练使用Linux 操作系统和常见数据库，能对复杂SQL进行性能优化；6. 熟练运用 maven、git等工具，了解项目发布流程；7. 熟悉Redis, MongoDB, Memcached等非关系型存储的使用；有 es、hbase等经验者优先；8. 代码逻辑清晰、整洁，有一定的代码重构经验；9. 优秀的业务抽象能力，能够洞悉原始需求；优秀的设计能力和前瞻思维。10. 有良好团队合作及跨团队协调沟通能力，较强的责任心和抗压能力。11. 具有比较强的问题分析和处理能力，有比较优秀的动手能力，热衷技术，精益求精；

",基础业务-java,15k-30k,3-5年
3,点我达网络科技有限公司,500-2000人,下城区,D轮及以上,独角兽公司,"
职位描述：

岗位职责：
1、主要从事移动平台、后台软件的功能设计、开发和实现；?
2、根据产品功能模块设计，编码实现各模块功能，并确保开发质量与进度；?
3、负责软件的设计、编程、调试和模块测试工作。
岗位要求：
1、2019届毕业生，统招本科及以上学历，计算机、软件工程等相关专业优先；
2、熟练掌握java开发语言，精通j2ee框架，熟悉Spring等常用框架；
3、熟悉Unix/Linux系统，熟悉集合、网络，多线程编程等；
4、有实际Java项目开发经验者优先；
5、有好奇心，极客精神，有较强的动手能力和创新精神。

",2019届校招-Java开发,15k-25k,应届毕业生
4,杭州铜板街互联网金融信息服务有限公司,150-500人,西湖区,B轮,期权，发展机会，五险一金,"
职位描述：

工作职责：1.负责铜板街核心业务系统的研发；2.负责公司现有系统架构的优化；任职资格：本科或以上学历，计算机软件或相关专业，3年以上Java开发经验； Java编程基础扎实：集合框架、多线程并发、IONIO、网络通信等，能编写高质量简洁清晰的代码；熟悉主流JAVA开源框架；熟悉主流关系数据库Mysql、Oracle，有sql调优经验加分； 热衷技术，有一定的技术癖。   优先条件：了解底层中间件、分布式技术（包括缓存、消息系统、热部署、JMX等）加分。 阅读相关JAVA开源框架源码者加分；有金融系统（交易，支付，风控）研发经验优先。 PS：简历尽量详细，尤其是技术能力及项目经验，以便HR同学能及时联系您！

",高级Java开发,12k-23k,3-5年
5,杭州有赞科技有限公司,500-2000人,西湖区,上市公司,"福利待遇佳,发展空间大,氛围环境好,上市公司","
职位描述：

岗位职责:
1.?作为团队核心开发，参与有赞DSP平台广告业务需求讨论、业务领域建模、方案预研和确定、以及技术研发和上线工作；
2.?参与攻坚解决各种问题，参与系统优化，并完成整个团队业务相关产品的平台建设以及公共组件的沉淀；
3.?作为团队核心成员，参与规划系统架构以及平台的升级；

任职条件:
1.?计算机相关专业本科或以上学历，三年以上Java开发经验；
2.?扎实的编程基础，精通Java开发语言，熟悉jvm、类加载、内存模型等，有代码洁癖；
3.?熟知常用Java框架，如Spring、Spring-boot、BootStrap、Redis、Kafka等，对源码有过了解为佳；
4.?深入了解Mysql数据库技术，对sql优化有一定的经验，熟悉Mybatis，了解并应用过其他数据库中间件；
5.?具备良好的面向对象的设计能力，熟悉面向对象设计原则，掌握设计模式及应用场景，对代码抽象有一定的理解；
6.?对于互联网广告、移动广告、广告投放数据链路等业务，有实际项目经验和业务知识者尤佳；
7.?对于有过高并发、高可用、高性能、稳定性保障、以及大数据处理实际项目经验者优先；
8.?具备良好的问题分析和处理能力，解决问题思路清晰，沟通良好；
9.?热衷技术，有持续学习的意愿，有一定的动手能力，精益求精；

",Java开发工程师--广告平台方向,15k-25k,不限
6,武汉佰钧成技术有限责任公司,2000人以上,滨江区,不需要融资,"五险一金,带薪年假,商业保险,节日福利","
职位描述：

岗位职责：
2-3年开发经验，本科学历
1. 熟练运用 Spring、SpringMVC? hibernate，mybatis, Redis、Jquery、2. 对前端框架 BootStrap ，easyui ，freemarker velocity? 相关技术有了解运用；3. java 基础掌握较好，有良好的编码习惯；4. 有金融方面（借贷业务）经验的优先。






",java开发工程师,8k-13k,1-3年
7,杭州魔蝎数据科技有限公司,50-150人,西湖区,B轮,"多样团建,全额公积金,年底多薪,股票期权","
职位描述：

工作职责：
1.参与业务系统设计；
2.编写核心系统代码；
3.系统缺陷的修复与系统性能调优；
4.互联网前沿技术的调研与引入；
5.帮助他人，帮助团队，帮助公司，帮助客户！

技能要求：
1.必须具备2年以上Java开发经验；
2.有扎实的java基础，熟悉分布式、缓存、异步消息等原理和应用；
3.熟练运用SpringBoot框架进行开发工作；
4.熟悉MySQL, Oracle等至少一种关系型数据库的开发；
5.熟悉Redis, MongoDB, Cassandra等至少一种非关系型存储的开发;
6.有使用过阿里云table store, max computer经验的优先；
7.了解微服务思想, 对接口设计规范有很好理解的人优先;
8.有良好的抽象设计能力和逻辑性，善于独立分析和解决问题；
9.具备互联网金融相关从业经历的优先

",Java开发,10k-20k,1-3年
8,杭州腾展科技股份有限公司,50-150人,西湖区,上市公司,"海量用户,Top20,全员持股","
职位描述：

职位描述：
1、根据公司业务需求，负责公司产品的技术选型、架构搭建，对现有架构进行升级，分析现有系统的瓶颈，提高系统的性能。
2、负责公司产品平台核心功能模块设计、核心代码开发等工作。
3、解决系统出现技术性问题。
4、主导项目关键技术问题的攻关；协助开发人员对技术问题进行跟踪。
5、对开发团队进行技术指导和培训。

任职要求：
1、1年以上Java开发经验,具有很强的动手能力；
2、有高并发、高吞吐、高稳定性系统架构设计与实现经验，对架构重构分析、分布改进有实战经验；
3、 熟练掌握分布式通讯框架（Netty、dubbo等NIO框架）、分布式存储（fastDFS、HDFS等）、分布式缓存（Memcached集群、redis集群）、分布式事务处理方案；
4、全局掌握架构要素系统灵活性、业务扩展性、性能线性增长、HA高可用、等级安全性等;
5、 精通MySQL处理机制与应用场景限制、精通NoSQL Redis、MongoDB、HBase等，精通消息中间件，如ActiveMQ、RabbitMQ、Kafka等在适合业务场景使用适合技术 ;
6、 精通基于流式计算框架storm、hadoop、spark、genfire、esper（CEP）优先考虑 。

",Java,15k-25k,1-3年
9,上海中软华腾软件系统有限公司,2000人以上,西湖区,上市公司,五险一金 带薪年假 法定节假日,"
职位描述：

任职要求：
?? 有至少3年以上开发经验，具备银行应用系统的系统分析、设计和编程经验；具备较强的技术分析能力，能够准确分析定位开发过程中的复杂技术问题，并提供有效解决方案。
?? 精通Java语言及常用的开发框架，如Spring、Hibernate、Ajax等。熟悉J2SE并能熟练使用Eclipse，maven、svn等开发管理工具进行代码开发，对开发效率优化有深刻的认识和体会。能够独立进行开发模块搭建。熟悉J2EE架构并精通spring/springmvc，freemaker、mybatis等编程技术。熟悉Touda优先。
?? 对JAVA及JAVA EE高性能和并行开发相关知识有深刻理解，能够熟练使用JAVA并发特性、缓存、消息队列、Nosql设计有良好性能的程序。
?? 熟练使用sql语句和SQL性能优化，并使用过DB2，Mysql，SqlServer等数据库系统之一，DB2使用经验优先考虑。
?? 熟悉Tomcat,Jetty，Websphere等应用服务器中的一种以上，能够进行一定中间件性能调优，Websphere经验优先考虑。
?? 熟悉面向对象分析与设计，具备大规模高并发访问的应用架构设计和开发经验；
?? 有较强的责任性、抗压能力和沟通能力。

",java,12k-18k,3-5年
